Australia,0.2,0.8,1.6,2.8,4.1,5.8,7.8,10.2,14.5,52.3,40.9,22.9
Austria,-0.6,0.1,0.4,0.8,1.8,3.7,5.9,8.7,13.6,65.7,54.1,31.1
Belgium,-0.1,0.2,1.2,3.1,5,6.7,8.8,11.5,16.3,47.2,35.5,17.5
Brazil,-0.7,-0.4,0.1,1,2,3.1,4.4,6.7,11.4,72.3,62.2,43.5
Canada,-0.2,0.1,0.5,1.4,2.7,4.5,6.9,10.1,15.6,58.5,46,26.1
Chile,-0.6,0,0.1,1.6,3.4,4.1,5.2,7.2,11.1,67.9,58.1,39.8
China,0.2,0.8,1.2,1.6,2.2,2.9,4,5.8,9.5,71.9,63.4,47
Colombia,-0.4,-0.1,0.7,1.8,3.1,4.5,6.2,9,14.8,60.5,48.2,27.4
Czech Republic,1,1.8,2.5,3.1,4.1,4.9,5.9,7.6,11.6,57.6,47.9,30.6
Denmark,-1.9,-0.1,0.4,1.2,2.5,3.8,5.5,8,12.5,68.3,55.1,33.2
Finland,-0.8,0,0.3,1.2,2.8,4.5,6.4,9.1,13.9,62.7,51.2,31.3
France,-0.2,0.1,0.4,1.3,3.4,5.8,8.2,11.1,16.2,53.7,41.5,21.6
Germany,-0.5,0.1,0.3,0.8,1.7,3.2,5.5,9.2,14.6,65.2,53.6,32.3
Greece,-0.1,0.3,1.4,3,4.3,5.5,7.3,9.4,13.6,55.4,44.3,26.1
Hungary,1.6,2.9,4,5.3,6.7,8.2,9.4,11.9,15.4,34.7,24.4,10.6
India,-0.9,0.3,0.7,1.1,1.8,2.7,4,6.2,10.9,73.3,64.1,45.1
Indonesia,-0.1,0.2,0.4,0.9,1.4,2.2,3.3,5.4,11.5,74.8,64.5,45.4
Ireland,-2.5,-0.1,0.2,0.9,2.6,4.2,6.1,8.5,14.3,65.8,53.7,33.1
Israel,0,0.1,1,2.2,3.4,4.4,5.5,7.5,11.4,64.5,54.3,36
Italy,-0.1,0.2,0.8,2.8,4.8,6.4,8.2,10.6,15.2,51.2,39.7,21.5
Japan,0.3,0.8,1.7,3,4.7,6.4,8.8,11.7,17.5,45.2,32.2,14.6
Korea,-0.3,0.2,1.2,2.5,3.6,5.1,7.3,9.7,14,56.7,45.3,26.8
Mexico,-0.2,0.1,0.8,1.9,3.2,4.6,6.2,9,14.6,59.9,47.9,28.4
Netherlands,-2.6,0.1,0.7,1.9,3.7,5.7,8.4,11.5,16.4,54.3,41.6,22.3
New Zealand,-0.9,0,0.9,1.7,3.4,5.1,6.8,10.2,16.3,56.5,43.6,23.8
Norway,-3.6,-0.3,0.2,1.4,3.1,5.1,7.1,9.8,14.4,62.9,50.9,30.6
Poland,0.6,1.3,1.8,2.5,3.2,4,5,6.6,10.1,65,56.1,39.2
Portugal,-0.2,0.2,1.1,2.4,3.6,5,6.7,9.3,13.4,58.5,48,28.2
Romania,0.9,1.8,2.6,3.4,4.5,5.5,6.6,8.4,12.2,54.1,43.9,26.7
Russian Federation,0.2,0.5,0.9,1.4,2,2.6,3.3,4.5,7.3,77.4,70.5,56
Singapore,0,0.1,1,2.3,3.5,4.5,5.8,7.8,11.9,63.1,52.4,34
South Africa,-1.1,-0.8,-0.3,0.5,1.6,2.8,4.1,6.5,11.7,75,65.2,41.2
Spain,0.1,0.4,1.8,3.6,4.4,5.6,7.3,9.5,13.6,53.8,42.9,25.1
Sweden,0.1,0.3,0.6,1,1.4,2.1,3.2,4.9,8.7,77.8,65.2,41.9
Switzerland,-0.2,0.9,1.7,2.6,3.5,5.2,6.7,8.4,12.7,58.7,47.8,28.9
Taiwan,0.4,0.9,1.7,2.8,4,5.1,6.4,8.4,12.4,57.9,47.4,29.6
Thailand,0.1,0.2,0.4,0.9,1.6,2.4,3.4,4.7,7.7,78.7,71.4,56.2
United Kingdom,-0.8,0.2,0.6,1.4,2.8,4.7,7,10.5,16.4,57.2,44.3,24.3
United States,-0.4,-0.2,0.2,0.5,1,2,3.4,5.7,11.2,76.7,65.4,38.3
