Downloaded from wid.world on 17-06-2018 at 20:29:37
Percentile;Year;"ghweal_992_j_FR
Net personal wealth
Total population | Gini coefficient | adults | equal split
France";"ghweal_992_j_US
Net personal wealth
Total population | Gini coefficient | adults | equal split
USA"
pall;1807;0.855173451943;
pall;1808;;
pall;1809;;
pall;1810;;
pall;1811;;
pall;1812;;
pall;1813;;
pall;1814;;
pall;1815;;
pall;1816;;
pall;1817;0.883962294878;
pall;1818;;
pall;1819;;
pall;1820;;
pall;1821;;
pall;1822;;
pall;1823;;
pall;1824;;
pall;1825;;
pall;1826;;
pall;1827;0.872376147041;
pall;1828;;
pall;1829;;
pall;1830;;
pall;1831;;
pall;1832;;
pall;1833;;
pall;1834;;
pall;1835;;
pall;1836;;
pall;1837;0.85888035964;
pall;1838;;
pall;1839;;
pall;1840;;
pall;1841;;
pall;1842;;
pall;1843;;
pall;1844;;
pall;1845;;
pall;1846;;
pall;1847;0.902926462214;
pall;1848;;
pall;1849;;
pall;1850;;
pall;1851;;
pall;1852;;
pall;1853;;
pall;1854;;
pall;1855;;
pall;1856;;
pall;1857;0.882413496009;
pall;1858;;
pall;1859;;
pall;1860;;
pall;1861;;
pall;1862;;
pall;1863;;
pall;1864;;
pall;1865;;
pall;1866;;
pall;1867;0.869706642906;
pall;1868;;
pall;1869;;
pall;1870;;
pall;1871;;
pall;1872;;
pall;1873;;
pall;1874;;
pall;1875;;
pall;1876;;
pall;1877;0.873259212247;
pall;1878;;
pall;1879;;
pall;1880;;
pall;1881;;
pall;1882;;
pall;1883;;
pall;1884;;
pall;1885;;
pall;1886;;
pall;1887;0.87870355085;
pall;1888;;
pall;1889;;
pall;1890;;
pall;1891;;
pall;1892;;
pall;1893;;
pall;1894;;
pall;1895;;
pall;1896;;
pall;1897;;
pall;1898;;
pall;1899;;
pall;1900;;
pall;1901;;
pall;1902;0.890636809605;
pall;1903;0.894182004139;
pall;1904;0.899365723756;
pall;1905;0.900226129644;
pall;1906;;
pall;1907;0.89441430519;
pall;1908;;
pall;1909;0.894611893584;
pall;1910;0.892756059831;
pall;1911;0.896237849273;
pall;1912;0.896412388242;
pall;1913;0.89430234965;
pall;1914;0.894331315195;
pall;1915;0.890433939548;
pall;1916;0.890934182665;
pall;1917;0.891150277399;
pall;1918;0.889633928119;
pall;1919;0.887280698991;
pall;1920;0.882027740049;
pall;1921;0.878333326906;
pall;1922;0.875350671955;
pall;1923;0.87306938702;
pall;1924;0.872643166563;
pall;1925;0.853969553206;
pall;1926;0.852983359573;
pall;1927;0.860721705248;
pall;1928;;
pall;1929;0.865915120152;
pall;1930;0.866998882609;
pall;1931;0.85878763557;
pall;1932;0.853450441759;
pall;1933;0.853562679078;
pall;1934;;
pall;1935;0.846305983895;
pall;1936;0.843742761996;
pall;1937;0.841887269385;
pall;1938;0.830598192245;
pall;1939;0.83732681306;
pall;1940;0.817178820197;
pall;1941;0.825268976345;
pall;1942;0.831807865545;
pall;1943;0.8420852132;
pall;1944;0.839089079641;
pall;1945;0.826893641783;
pall;1946;0.812641934763;
pall;1947;0.803629147301;
pall;1948;0.808435708758;
pall;1949;0.813618584621;
pall;1950;0.817057426014;
pall;1951;0.799111505573;
pall;1952;0.816302321752;
pall;1953;0.820083066423;
pall;1954;0.806806506218;
pall;1955;0.797569118633;
pall;1956;0.798061202896;
pall;1957;0.801550331804;
pall;1958;0.792585898443;
pall;1959;0.800162755798;
pall;1960;0.799459827934;
pall;1961;;
pall;1962;0.798254976002;0.842251255324
pall;1963;;
pall;1964;0.810774852994;0.844194788593
pall;1965;0.79925974859;
pall;1966;0.782205323025;0.837961593818
pall;1967;0.764584869263;0.837149098675
pall;1968;0.729101437831;0.841813718721
pall;1969;0.699773232029;0.832005826286
pall;1970;0.702364530897;0.83554796166
pall;1971;0.694984601748;0.828900426094
pall;1972;0.692393178637;0.830676374852
pall;1973;0.690421262542;0.825008944393
pall;1974;0.683654988999;0.826572888559
pall;1975;0.678340064205;0.819492751514
pall;1976;0.671873460657;0.813320532238
pall;1977;0.66471164572;0.814777653714
pall;1978;0.65975854976;0.808170229937
pall;1979;0.656600331838;0.810494099365
pall;1980;0.655786603147;0.808463557246
pall;1981;0.65089974528;0.80511099492
pall;1982;0.645258142082;0.794665969134
pall;1983;0.642861782623;0.787315600275
pall;1984;0.642112571394;0.783020385217
pall;1985;0.641235278232;0.777378204556
pall;1986;0.642604383952;0.776585658846
pall;1987;0.640536724724;0.777901525435
pall;1988;0.639121834632;0.785443689143
pall;1989;0.644947523516;0.784343692751
pall;1990;0.645217885146;0.78807461061
pall;1991;0.648753694458;0.787747460356
pall;1992;0.659880839852;0.798837568137
pall;1993;0.661758871306;0.801944088294
pall;1994;0.662097203289;0.804020946482
pall;1995;0.660044031931;0.808043468226
pall;1996;0.678439270882;0.811174555338
pall;1997;0.688089507193;0.816952242052
pall;1998;0.695713261522;0.821444335007
pall;1999;0.69873179205;0.823596891709
pall;2000;0.700660792303;0.825080986398
pall;2001;0.693834132506;0.821959812115
pall;2002;0.683171499692;0.823192242537
pall;2003;0.679451521406;0.825730051878
pall;2004;0.67327580297;0.828181497164
pall;2005;0.669213909961;0.827153394986
pall;2006;0.673388872341;0.830593708235
pall;2007;0.679224652916;0.840645323655
pall;2008;0.678307484976;0.871835039145
pall;2009;0.68640626275;0.885375584232
pall;2010;0.704224323476;0.884246657998
pall;2011;0.695541301496;0.881200078008
pall;2012;0.690104073044;0.877838563017
pall;2013;0.691780127929;0.864411055415
pall;2014;0.694574152428;0.859044206138
