p,botsh,growth_before_1,growth_before_2,growth_after_1,growth_after_2,before,now,after
1,-0.0018487823080524102,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
2,-0.0017695402700135254,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
3,-0.001567204957022783,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
4,-0.0012415380689081434,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
5,-7.930162218448e-4,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
6,-2.2152024595833986e-4,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
7,4.7330730505146246e-4,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
8,0.0012912876763739867,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
9,0.0022322421765198497,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
10,0.003296289975361688,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
11,0.004483490531197343,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
12,0.005793546109301939,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
13,0.007242126218415579,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
14,0.008845853852917474,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
15,0.010604907830939703,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
16,0.012519288152483377,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
17,0.014588935295929861,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
18,0.016813968051231254,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
19,0.019194148585202075,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
20,0.021729834027543582,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
21,0.024421024631538835,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
22,0.027267303239304708,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
23,0.03025025943499149,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
24,0.03335207877875901,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
25,0.03657317817520711,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
26,0.03991349810271805,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
27,0.04337262165669653,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
28,0.04695096548845301,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
29,0.05063887797794031,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
30,0.05446483831894111,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
31,0.05840048661419106,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
32,0.06245505707257015,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
33,0.06662878854039667,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
34,0.070921561974438,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
35,0.07534070562543838,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
36,0.07989158201110247,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
37,0.08457424989319473,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
38,0.08938882932808301,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
39,0.09433526003429915,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
40,0.09941360178674563,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
41,0.10462367627385549,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
42,0.10996566180719214,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
43,0.11543955889332735,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
44,0.12104524747589007,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
45,0.12678284761124914,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
46,0.13276562108346512,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
47,0.13922331069361082,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
48,0.1460014839355459,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
49,0.15296548872928883,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
50,0.16002249820143466,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
51,0.16711573227598597,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
52,0.17421778466795734,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
53,0.18132045811100794,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
54,0.18842316650717628,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
55,0.19555695430526676,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
56,0.20271148247388338,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
57,0.20988675151959268,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
58,0.21708276093582934,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
59,0.22429951122915803,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
60,0.23155524083595314,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
61,0.2389817093389267,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
62,0.24679098187238746,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
63,0.2550821414115426,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
64,0.26382700662397485,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
65,0.27290534384472576,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
66,0.28223886416521426,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
67,0.29177096683414283,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
68,0.3014650088248051,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
69,0.3113047252856578,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
70,0.3212940471762096,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
71,0.3314556170258752,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
72,0.3418281010897486,1.0862296769857873,1.0881084453227143,1.0970672559394572,1.0973730171691167,1963,1988,2013
